district_id,district_alt_id,division_id,address_1,address_2,address_3,address_4,lat,lng,division_is_covid,election_type,covid_station,total_registered_voters,invalid_ballots,participated,special_voters,total_votes,disbalance_num,is_balanced,protocols,CAND1,CAND2,CAND5,CAND6,CAND7,CAND8,CAND9,CAND10,CAND13,CAND14,CAND17,CAND18,CAND19,CAND22,CAND24,CAND25,CAND26,CAND29,CAND30,CAND31,CAND32,CAND34,CAND35,CAND36,CAND37,CAND41,CAND43,CAND44,CAND45,CAND48,CAND50,CAND38,CAND39,CAND21,CAND12,CAND42,CAND3,CAND49,CAND40
1,1 მთაწმინდა,01.01,,მე-4 ბაღი,შ.დადიანის ქ. 15,ქალაქის,41.6903691421881,44.80191650000007,0,proportional,0,1338,20,668,12,646,2,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/38600f06-b8e9-4e09-ad62-1490a972b25d,4,6,176,0,23,12,23,4,2,0,0,1,0,0,0,67,0,0,1,1,23,0,2,12,0,232,0,3,31,21,2,,,,,,,,
1,1 მთაწმინდა,01.02,,მე-4 ბაღი,შ.დადიანის ქ. 15,ქალაქის,41.690349621433086,44.801962648440536,0,proportional,0,1270,15,639,13,622,2,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/66b00d39-cdd2-42ab-8da1-45d7cd5c2829,5,5,150,2,15,9,26,6,0,0,1,1,0,0,0,59,0,1,1,1,24,0,1,8,0,253,0,0,34,18,2,,,,,,,,
1,1 მთაწმინდა,01.03,,50 -ე სკოლა,გ.ქიქოძის ქ. 4,ქალაქის,41.69179235724783,44.7985467961563,0,proportional,0,1479,18,785,16,764,3,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/a0c4d0af-5386-451a-af98-c024fc9f7b23,3,13,238,5,24,5,29,12,2,0,0,0,0,0,1,59,0,0,0,2,24,0,4,15,1,274,0,0,32,20,1,,,,,,,,
1,1 მთაწმინდა,01.04,,144-ე ბაღი,გ.ნიშნიანიძის ქ.4ა,ქალაქის,41.6887963,44.794791,0,proportional,0,1185,11,603,13,592,0,1,https://results.cec.gov.ge/#/ka-ge/election_45/prot/277d24f4-1dbc-49a2-9b8b-01fbb2775299,4,5,147,0,31,11,12,6,0,0,0,2,2,0,0,71,0,0,1,1,16,0,2,10,3,226,0,1,20,19,2,,,,,,,,
1,1 მთაწმინდა,01.05,,42-ე სკოლა,ჩაიკოვსკის ქ. 9,ქალაქის,41.6934649,44.7958217,0,proportional,0,1612,15,735,10,720,0,1,https://results.cec.gov.ge/#/ka-ge/election_45/prot/7a7a70be-db83-4c2a-a077-795066fe0862,4,10,170,0,18,7,39,6,1,0,0,0,1,1,0,91,0,1,0,0,19,0,7,18,3,271,0,2,25,25,1,,,,,,,,
1,1 მთაწმინდა,01.06,,47 -ე სკოლა,შ. ჩიტაძის ქ.9,ქალაქის,41.6948889,44.7942444,0,proportional,0,1470,14,827,28,812,1,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/d0864662-a3c4-41fb-adcd-a11860482f1d,4,16,195,0,24,17,47,5,3,0,2,1,0,0,0,71,0,0,0,4,26,0,3,20,1,303,0,2,41,27,0,,,,,,,,
1,1 მთაწმინდა,01.07,,150 -ე ბაღი,ვუკოლ ბერიძის ქ.2,ქალაქის,41.6938573,44.7959839,0,proportional,0,1422,22,723,10,701,0,1,https://results.cec.gov.ge/#/ka-ge/election_45/prot/0da96341-d642-4c2b-9790-7a0cec1ed0f4,8,14,173,3,20,6,37,3,1,0,2,0,0,0,0,68,0,0,0,1,15,0,0,9,2,289,0,2,32,14,2,,,,,,,,
1,1 მთაწმინდა,01.08,,1 კლასიკური გიმნაზია,რუსთაველის გამზ.10,ქალაქის,41.69736924705664,44.79823745648347,0,proportional,0,1096,14,562,13,537,11,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/fd9bada6-72a1-4697-ba7b-0049add39a3c,6,5,134,2,25,10,31,4,1,0,0,0,1,0,1,59,0,0,0,1,6,0,0,9,2,198,0,3,18,21,0,,,,,,,,
1,1 მთაწმინდა,01.09,,1 კლასიკური გიმნაზია,რუსთაველის გამზ.10,ქალაქის,41.69799933517627,44.797770220901484,0,proportional,0,1573,22,884,14,862,0,1,https://results.cec.gov.ge/#/ka-ge/election_45/prot/18ec57b7-300e-4ae9-9ee6-71ae4b3746ed,5,11,202,0,22,12,45,10,1,0,0,1,1,1,1,97,0,0,0,0,23,0,3,20,3,330,2,5,44,23,0,,,,,,,,
1,1 მთაწმინდა,01.10,,55-ე ბაღი,ბესიკის ქ. 25,ქალაქის,41.696785,44.7940355,0,proportional,0,1520,30,815,13,785,0,1,https://results.cec.gov.ge/#/ka-ge/election_45/prot/df830de1-df27-4667-b416-eeb71bdc1f59,6,6,186,0,26,23,40,9,2,1,0,0,2,0,0,78,1,1,0,1,26,0,2,13,1,299,1,5,34,20,2,,,,,,,,
1,1 მთაწმინდა,01.11,,ზ.ფალიაშვილის სახელობის სამუსიკო სკოლა,ა.ჭავჭავაძის ქ.19,ქალაქის,41.69937427480092,44.79124184799342,0,proportional,0,1514,16,755,11,738,1,0,https://results.cec.gov.ge/#/ka-ge/election_45/prot/3ce4dbdb-7a52-4ff1-b273-18db01a0a698,4,8,220,0,24,8,16,6,0,0,0,0,1,0,0,77,0,0,0,1,20,0,3,7,2,277,0,1,41,22,0,,,,,,,,
