lat,lng,info,name,year,map_name,address_1,address_2,address_3,address_4,cancelled,protocols,district_id,division_id,internal_id,archive_name,district_name,election_type,internal_name,abroad_district_id,election_numeric_id,total_registered_voters,total_registered_voters_men,total_registered_voters_women,participated,participated_confidence,invalid_ballots,invalid_ballots_confidence,total_votes,CAND || 10 || საქართველოს ლეიბორისტული პარტია,CAND || 12 || „ჩვენი გაერთიანებული საქართველო“,CAND || 16 || „შეცვალე საქართველო“,CAND || 17 || „საქართველო“,CAND || 20 || თავისუფალი საქართველო,CAND || 21 || ტრიბუნა,CAND || 23 || „ჩვენ“,CAND || 25 || „გახარია საქართველოსთვის“,CAND || 26 || „მემარცხენე ალიანსი“,CAND || 27 || ქართველ ერთობა,CAND || 3 || „საქართველოს ერთობისა და განვითარების პარტია“,CAND || 36 || „გირჩი“,CAND || 4 || კოალიცია ცვლილებისთვის გვარამია მელია გირჩი დროა,CAND || 41 || ქართული ოცნება,CAND || 5 || „ერთიანობა-ნაციონალური მოძრაობა“,CAND || 6 || „ევროპელი დემოკრატები“,CAND || 8 || „საქართველოს პატრიოტთა ალიანსი“,"CAND || 9 || „ძლიერი საქართველო-ლელო, ხალხისთვის, თავისუფლებისთვის!“",CAND || 999 || Other
42.328248866035636, 42.41991229828759,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,სპორტსკოლის შენობა,სპორტსკოლის შენობა,ჭავჭავაძის 1 ჩიხი N2,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/2c9b6dfd-9bee-4ddf-9d21-9ab49740ca14,55,00.55.01,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1273,585,688,,,,,792,4,1,4,1,1,0,1,41,1,1,2,16,59,520,65,7,22,46,0
42.32293883039344, 42.41394080269662,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,N4 საჯარო სკოლა,N4 საჯარო სკოლა,ირ.აბაშიძის I შეს. N1,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/179d7b6e-cf0a-47ba-bf01-9f9110944053,55,00.55.02,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,2359,1080,1279,3,1,35,1,1314,3,1,13,2,3,0,2,55,2,0,3,33,117,822,126,10,48,74,0
42.32405167496131, 42.42389468532621,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ა(ა)იპ საქველმოქმედო ასოციაცია სათნოების სახლი,ა(ა)იპ საქველმოქმედო ასოციაცია სათნოების სახლი,გურამიშვილის  N1,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/a5107e66-2d5b-4b34-a11c-9b364a573ae7,55,00.55.03,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1287,571,716,,,,,773,7,1,4,2,1,1,0,51,0,3,1,23,58,503,62,6,20,30,0
42.32563448982914, 42.424805108829595,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,სამხატვრო სკოლა,სამხატვრო სკოლა,შამათავას N10,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/71782de4-e53b-463c-aa6e-e4ba34557b7b,55,00.55.04,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1250,598,652,715,1,15,1,727,4,0,3,1,0,0,0,30,1,3,5,18,81,464,70,2,15,30,0
42.44462549658547, 42.526364157561765,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,გორდის საჯარო სკოლა,გორდის საჯარო სკოლა,სოფ.გორდი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/5bc471e1-4a81-4394-b1c7-594ad779d18e,55,00.55.05,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,860,425,435,568,1,,,550,3,0,3,0,3,1,0,20,1,3,0,9,32,328,105,2,11,29,0
42.263260493451135, 42.429805397987366,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,გოჩა-ჯიხაიშის საჯარო სკოლა,გოჩა-ჯიხაიშის საჯარო სკოლა,სოფ.გოჩა-ჯიხაიში,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/a980e483-cb44-4b0e-a646-57ac66724e94,55,00.55.06,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,596,303,293,436,1,3,1,433,0,0,0,1,1,0,1,9,0,1,0,6,16,298,77,5,5,13,0
42.27326881332718, 42.46424034617155,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,გუბის საჯარო სკოლა,გუბის საჯარო სკოლა,სოფ.გუბი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/ae8ab4a3-8890-4c5d-a213-aa7e80b0eebe,55,00.55.07,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,870,424,446,592,1,13,0.8333333333333333,579,5,0,4,5,0,0,1,33,0,8,1,11,40,360,70,4,17,20,0
42.349189036521175, 42.51359267202959,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,დედალაურის საბავშვო ბაღი,დედალაურის საბავშვო ბაღი,სოფ.დედალაური,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/a02d6d26-c9b9-4f42-bb11-d538d1c2b0de,55,00.55.08,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,710,348,362,462,1,16,0.8333333333333333,445,1,0,0,0,0,0,1,13,0,1,2,4,26,238,114,6,24,15,0
42.34533581974313, 42.476727712304104,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ჩ/მეურნეობის საჯარო სკოლა,ჩ/მეურნეობის საჯარო სკოლა,სოფ.ჩ/მეურნეობა,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/abd4a778-c455-4a6f-8d5a-188d4f4b59ba,55,00.55.09,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,309,164,145,178,1,,,177,0,0,0,1,0,1,0,5,0,0,1,2,4,109,41,0,3,10,0
42.3062707372023, 42.420755444880456,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ივანდიდის საჯარო სკოლა,ივანდიდის საჯარო სკოლა,სოფ.ივანდიდი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/edaa66d1-24f0-44b2-ac31-abcb0de47d69,55,00.55.10,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1631,783,848,1036,0.8333333333333333,24,1,972,4,0,3,0,2,1,0,6,1,1,3,13,87,675,91,8,15,62,0
42.48745740981198, 42.55299657583237,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,კინჩხის საჯარო სკოლა,კინჩხის საჯარო სკოლა,სოფ.კინჩხა,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/d0d15f15-7bdb-4340-b9a0-6dc213755b77,55,00.55.11,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,312,168,144,241,1,8,1,233,2,1,0,0,0,0,0,8,0,0,1,1,25,168,15,1,3,8,0
42.29633617421507, 42.4486154148193,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,დიდი კუხის კლუბის შენობა,დიდი კუხის კლუბის შენობა,სოფ.დიდი კუხი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/353f7e82-739a-4948-a1b4-24b298577948,55,00.55.12,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1404,675,729,942,1,42,1,900,9,1,3,1,2,1,1,31,1,3,1,15,59,574,123,9,30,36,0
42.30781431066617, 42.48891265292809,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ახალშენის N 2 საბავშვო ბაღი,ახალშენის N 2 საბავშვო ბაღი,სოფ.ახალშენი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/5c7c005e-4be3-4808-91e6-f29e66078107,55,00.55.13,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,456,232,224,273,0.8333333333333333,5,0.8333333333333333,268,2,1,1,0,0,0,0,37,0,0,1,3,20,151,30,1,6,15,0
42.38522925741109, 42.43802227915544,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,მათხოჯის საჯარო სკოლა,მათხოჯის საჯარო სკოლა,სოფ მათხოჯი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/161ecec1-9626-4685-a1f1-01f5ea858ece,55,00.55.14,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1197,603,594,,,0,0.8333333333333333,727,1,2,4,0,0,0,0,34,1,1,3,10,47,466,78,10,30,40,0
42.41329235180298, 42.467043731644694,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,სუხჩის არასრული საჯარო სკოლა,სუხჩის არასრული საჯარო სკოლა,სოფ.სუხჩე,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/188938dd-ef63-48d6-8504-36f345cdf05d,55,00.55.15,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,220,108,112,162,0.8333333333333333,2,1,160,0,0,0,0,1,0,0,5,0,0,0,0,25,112,13,0,1,3,0
42.357437951948036, 42.43050277233124,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ნახახულევის საჯარო სკოლა,ნახახულევის საჯარო სკოლა,სოფ.ნახახულევი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/b60fbc90-9f50-4cbf-8968-a16acbc7228c,55,00.55.16,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,635,308,327,454,0.8333333333333333,16,0.8333333333333333,437,2,1,1,1,0,0,0,15,1,4,1,3,19,318,38,2,10,21,0
42.34935765748038, 42.42166084617156,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,კონტუათის სოფლის კლუბი,კონტუათის სოფლის კლუბი,სოფ.კონტუათი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/ae78cb8b-cf4e-458a-99e9-27727dfbebbc,55,00.55.17,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,783,371,412,,,8,1,494,0,0,3,1,0,2,0,25,1,2,0,13,39,325,36,6,18,23,0
42.34517836190987, 42.44433915913851,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,საწულუკიძეოს საჯარო სკოლა,საწულუკიძეოს საჯარო სკოლა,სოფ.საწულუკიძეო,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/66ec5390-dd16-453f-8ad9-aa30ea2f880c,55,00.55.18,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,796,385,411,505,0.8333333333333333,10,0.8333333333333333,495,1,4,2,0,1,0,1,15,0,0,0,7,27,285,120,0,13,19,0
42.38052441207628, 42.49529957771301,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ახალბედისეულის საჯარო სკოლა,ახალბედისეულის საჯარო სკოლა,სოფ.ახალბედისეული,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/095902ad-58a3-4f76-b647-0448c850dd92,55,00.55.19,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,288,150,138,194,0.8333333333333333,1,1,193,0,0,0,1,1,0,0,1,0,0,0,1,15,141,26,0,2,5,0
42.276106154574464, 42.37258931534425,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,ქუტირის საჯარო სკოლა,ქუტირის საჯარო სკოლა,სოფ.ქუტირი,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/a742c92d-6747-40f8-8ffd-9d324339fdd1,55,00.55.20,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,1091,562,529,653,1,,,662,4,0,2,0,0,0,0,31,0,2,0,8,47,420,81,2,18,47,0
42.272256265433654, 42.39976243428316,,,2024,2024 წლის 26 ოქტომბრის საქართველოს პარლამენტის არჩევნები,პ/ჯიხაიშის საჯარო სკოლა,პ/ჯიხაიშის საჯარო სკოლა,სოფ.პ/ჯიხაიში,,False,https://results.cec.gov.ge/#/ka-ge/election_57/tr/prot/3f563052-451a-45a2-848b-9fb246153df8,55,00.55.21,2024_parliamentary_round_1,26.10.2020 საქართველოს პარლამენტის არჩევნების შედეგები,ხონი,proportional,2024 წლის საპარლამენტო არჩევნები (ტური 1),87,57,427,231,196,311,1,8,1,303,2,0,1,0,0,1,1,8,0,0,0,6,26,171,61,2,8,16,0
